,CH1,CH2
Second,Volt,Volt
-4.82440e-04,2.97e-01,1.98e+01, 
-3.35932e-04,2.98e-01,1.98e+01, 
-1.89424e-04,2.97e-01,1.98e+01, 
-4.29749e-05,2.98e-01,1.98e+01, 
1.03533e-04,2.98e-01,2.00e+01, 
2.49982e-04,2.97e-01,1.98e+01, 
3.96490e-04,2.97e-01,2.00e+01, 
5.42998e-04,2.97e-01,1.98e+01, 
6.89447e-04,2.98e-01,1.98e+01, 
8.35955e-04,2.98e-01,1.98e+01, 
9.82404e-04,2.97e-01,1.98e+01, 
1.12891e-03,2.97e-01,1.98e+01, 
1.27542e-03,2.97e-01,1.98e+01, 
1.42187e-03,2.97e-01,2.00e+01, 
1.56838e-03,2.98e-01,2.00e+01, 
1.71483e-03,2.97e-01,2.00e+01, 
1.86133e-03,2.97e-01,1.98e+01, 
2.00784e-03,2.97e-01,1.98e+01, 
2.15429e-03,2.97e-01,2.00e+01, 
2.30080e-03,2.97e-01,1.98e+01, 
2.44725e-03,2.97e-01,2.00e+01, 
2.59376e-03,2.97e-01,1.98e+01, 
2.74026e-03,2.97e-01,2.00e+01, 
2.88671e-03,2.97e-01,1.98e+01, 
3.03322e-03,2.97e-01,1.98e+01, 
3.17967e-03,2.97e-01,2.00e+01, 
3.32618e-03,2.97e-01,1.98e+01, 
3.47269e-03,2.97e-01,1.98e+01, 
3.61913e-03,2.97e-01,1.98e+01, 
3.76564e-03,2.97e-01,1.98e+01, 
3.91209e-03,2.97e-01,1.98e+01, 
4.05860e-03,2.97e-01,1.98e+01, 
4.20511e-03,2.97e-01,2.00e+01, 
4.35156e-03,2.97e-01,2.00e+01, 
4.49806e-03,2.97e-01,1.98e+01, 
4.64451e-03,2.97e-01,2.00e+01, 
4.79102e-03,2.97e-01,1.98e+01, 
4.93753e-03,2.97e-01,2.00e+01, 
5.08398e-03,2.97e-01,2.00e+01, 
5.23049e-03,2.97e-01,2.00e+01, 
5.37694e-03,2.97e-01,1.98e+01, 
5.52344e-03,2.97e-01,1.98e+01, 
5.66995e-03,2.97e-01,1.98e+01, 
5.81640e-03,2.97e-01,1.98e+01, 
5.96291e-03,2.97e-01,2.00e+01, 
6.10936e-03,2.97e-01,1.98e+01, 
6.25587e-03,2.97e-01,2.00e+01, 
6.40237e-03,2.97e-01,1.98e+01, 
6.54882e-03,2.97e-01,1.98e+01, 
6.69533e-03,2.97e-01,1.98e+01, 
6.84178e-03,2.97e-01,1.98e+01, 
6.98829e-03,2.97e-01,1.98e+01, 
7.13480e-03,2.97e-01,1.98e+01, 
7.28124e-03,2.97e-01,1.98e+01, 
