,CH1,CH3,CH4
Second,Volt,Volt,Volt
-1.52844e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.52697e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.52551e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.52404e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.52258e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.52111e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51965e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51818e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51672e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51525e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51379e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51232e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.51086e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50939e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50793e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50647e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50500e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50354e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50207e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.50061e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49914e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49768e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49621e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49475e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49328e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49182e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.49035e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48889e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48742e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48596e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48449e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48303e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48156e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.48010e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.47863e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.47717e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.47570e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.47424e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.47277e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.47131e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46984e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46838e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46691e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46545e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46398e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46252e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.46105e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45959e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45813e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45666e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45520e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45373e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45227e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.45080e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44934e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44787e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44641e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44494e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44348e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44201e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.44055e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.43908e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.43762e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.43615e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.43469e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.43322e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.43176e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.43029e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.42883e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.42736e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.42590e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.42443e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.42297e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.42150e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.42004e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.41857e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.41711e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.41564e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.41418e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.41272e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.41125e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.40979e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.40832e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.40686e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.40539e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.40393e-01,2.60e-01,-8.00e-01,3.03e-01, 
-1.40246e-01,2.60e-01,-1.20e+00,3.03e-01, 
