,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
3.52800e-01,1.60e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52820e-01,0.00e+00,2.14e-01,3.14e-01,-2.64e+00, 
3.52840e-01,8.00e-04,2.14e-01,3.14e-01,-2.64e+00, 
3.52860e-01,0.00e+00,2.14e-01,3.14e-01,-2.64e+00, 
3.52880e-01,8.00e-04,2.14e-01,3.14e-01,-2.64e+00, 
3.52900e-01,1.60e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52920e-01,1.60e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52940e-01,8.00e-04,2.14e-01,3.14e-01,-2.64e+00, 
3.52960e-01,0.00e+00,2.14e-01,3.13e-01,-2.64e+00, 
3.52980e-01,-8.00e-04,2.14e-01,3.14e-01,-2.64e+00, 
3.53000e-01,0.00e+00,2.14e-01,3.13e-01,-2.64e+00, 
3.53020e-01,-8.00e-04,2.14e-01,3.14e-01,-2.64e+00, 
3.53040e-01,-1.60e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.53060e-01,-8.00e-04,2.14e-01,3.13e-01,-2.64e+00, 
3.53080e-01,-1.60e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53100e-01,-2.40e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53120e-01,-2.40e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.53140e-01,-1.60e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53160e-01,-2.40e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53180e-01,-2.40e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.53200e-01,-2.40e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53220e-01,-3.20e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53240e-01,-2.40e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53260e-01,-4.80e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.53280e-01,-3.20e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53300e-01,-4.80e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53320e-01,-5.60e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53340e-01,-5.60e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53360e-01,-4.80e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53380e-01,-4.80e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53400e-01,-4.80e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53420e-01,-5.60e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53440e-01,-5.60e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53460e-01,-6.40e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53480e-01,-5.60e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53500e-01,-8.00e-03,2.14e-01,3.13e-01,-2.64e+00, 
3.53520e-01,-8.00e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53540e-01,-8.00e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53560e-01,-8.80e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53580e-01,-8.80e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53600e-01,-1.04e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53620e-01,-1.04e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53640e-01,-8.80e-03,2.14e-01,3.12e-01,-2.64e+00, 
3.53660e-01,-1.04e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53680e-01,-1.04e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53700e-01,-1.12e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53720e-01,-1.12e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53740e-01,-1.04e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53760e-01,-1.12e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53780e-01,-1.12e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53800e-01,-1.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53820e-01,-1.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53840e-01,-1.20e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53860e-01,-1.12e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53880e-01,-1.44e-02,2.14e-01,3.12e-01,-2.64e+00, 
3.53900e-01,-1.28e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53920e-01,-1.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53940e-01,-1.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53960e-01,-1.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.53980e-01,-1.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54000e-01,-1.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54020e-01,-1.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.54040e-01,-1.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
