,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.61200e-01,-3.44e-02,3.48e-01,3.24e-01,3.40e+00, 
-1.60800e-01,-3.36e-02,3.49e-01,3.23e-01,3.36e+00, 
-1.60400e-01,-3.52e-02,3.48e-01,3.24e-01,3.32e+00, 
-1.60000e-01,-3.52e-02,3.48e-01,3.23e-01,3.36e+00, 
-1.59600e-01,-3.60e-02,3.49e-01,3.23e-01,3.28e+00, 
-1.59200e-01,-3.60e-02,3.48e-01,3.23e-01,3.28e+00, 
-1.58800e-01,-3.84e-02,3.48e-01,3.23e-01,3.32e+00, 
-1.58400e-01,-3.84e-02,3.48e-01,3.23e-01,3.24e+00, 
-1.58000e-01,-3.76e-02,3.48e-01,3.23e-01,3.28e+00, 
-1.57600e-01,-3.84e-02,3.48e-01,3.23e-01,3.28e+00, 
-1.57200e-01,-3.92e-02,3.48e-01,3.23e-01,3.24e+00, 
-1.56800e-01,-3.92e-02,3.48e-01,3.23e-01,3.24e+00, 
-1.56400e-01,-4.16e-02,3.48e-01,3.23e-01,3.20e+00, 
-1.56000e-01,-4.16e-02,3.48e-01,3.23e-01,3.24e+00, 
-1.55600e-01,-4.08e-02,3.48e-01,3.23e-01,3.20e+00, 
-1.55200e-01,-4.16e-02,3.48e-01,3.23e-01,3.24e+00, 
-1.54800e-01,-4.16e-02,3.48e-01,3.23e-01,3.20e+00, 
-1.54400e-01,-4.16e-02,3.48e-01,3.23e-01,3.20e+00, 
-1.54000e-01,-4.08e-02,3.49e-01,3.23e-01,3.16e+00, 
-1.53600e-01,-4.08e-02,3.48e-01,3.23e-01,3.16e+00, 
-1.53200e-01,-3.84e-02,3.48e-01,3.23e-01,3.16e+00, 
-1.52800e-01,-3.84e-02,3.49e-01,3.23e-01,3.12e+00, 
-1.52400e-01,-3.60e-02,3.48e-01,3.23e-01,3.16e+00, 
-1.52000e-01,-3.60e-02,3.48e-01,3.23e-01,3.16e+00, 
-1.51600e-01,-3.28e-02,3.49e-01,3.23e-01,3.12e+00, 
-1.51200e-01,-3.20e-02,3.49e-01,3.23e-01,3.12e+00, 
-1.50800e-01,-2.72e-02,3.49e-01,3.23e-01,3.08e+00, 
-1.50400e-01,-2.72e-02,3.49e-01,3.23e-01,3.12e+00, 
-1.50000e-01,-2.32e-02,3.49e-01,3.23e-01,3.08e+00, 
-1.49600e-01,-2.24e-02,3.49e-01,3.23e-01,3.12e+00, 
-1.49200e-01,-1.84e-02,3.50e-01,3.23e-01,3.04e+00, 
-1.48800e-01,-1.84e-02,3.50e-01,3.22e-01,3.08e+00, 
-1.48400e-01,-1.28e-02,3.51e-01,3.23e-01,3.04e+00, 
-1.48000e-01,-1.28e-02,3.50e-01,3.23e-01,3.08e+00, 
-1.47600e-01,-8.80e-03,3.50e-01,3.23e-01,3.00e+00, 
-1.47200e-01,-8.80e-03,3.50e-01,3.23e-01,3.04e+00, 
-1.46800e-01,-5.60e-03,3.50e-01,3.23e-01,2.96e+00, 
-1.46400e-01,-4.80e-03,3.50e-01,3.23e-01,3.00e+00, 
-1.46000e-01,-1.60e-03,3.50e-01,3.23e-01,3.00e+00, 
-1.45600e-01,-2.40e-03,3.50e-01,3.23e-01,2.96e+00, 
-1.45200e-01,1.60e-03,3.50e-01,3.23e-01,3.00e+00, 
-1.44800e-01,1.60e-03,3.50e-01,3.23e-01,2.96e+00, 
-1.44400e-01,4.00e-03,3.50e-01,3.23e-01,2.96e+00, 
-1.44000e-01,4.00e-03,3.50e-01,3.23e-01,2.96e+00, 
-1.43600e-01,7.20e-03,3.50e-01,3.23e-01,2.92e+00, 
-1.43200e-01,7.20e-03,3.50e-01,3.23e-01,2.92e+00, 
-1.42800e-01,9.60e-03,3.50e-01,3.23e-01,2.96e+00, 
-1.42400e-01,1.04e-02,3.50e-01,3.23e-01,2.92e+00, 
-1.42000e-01,1.28e-02,3.51e-01,3.23e-01,2.88e+00, 
-1.41600e-01,1.36e-02,3.51e-01,3.23e-01,2.88e+00, 
-1.41200e-01,1.68e-02,3.51e-01,3.23e-01,2.92e+00, 
-1.40800e-01,1.76e-02,3.51e-01,3.23e-01,2.88e+00, 
-1.40400e-01,2.08e-02,3.52e-01,3.23e-01,2.84e+00, 
-1.40000e-01,2.16e-02,3.52e-01,3.23e-01,2.88e+00, 
-1.39600e-01,2.56e-02,3.53e-01,3.23e-01,2.80e+00, 
-1.39200e-01,2.56e-02,3.53e-01,3.23e-01,2.84e+00, 
-1.38800e-01,3.04e-02,3.54e-01,3.24e-01,2.80e+00, 
-1.38400e-01,3.04e-02,3.54e-01,3.23e-01,2.80e+00, 
-1.38000e-01,3.36e-02,3.55e-01,3.24e-01,2.80e+00, 
-1.37600e-01,3.36e-02,3.56e-01,3.24e-01,2.80e+00, 
-1.37200e-01,3.76e-02,3.57e-01,3.25e-01,2.76e+00, 
